code,x0,depth,norm_rank,subtree_size
A07EC02,45.905884,5.0,1.0,0.0
A07EC03,46.245186,5.0,1.0,0.0
A07EC04,46.600834,5.0,1.0,0.0
A07F,44.274662,3.0,0.6,5.0
A07FA,44.443466,4.0,0.8,4.0
A07FA01,44.459805,5.0,1.0,0.0
A07FA02,43.73587,5.0,1.0,0.0
A07FA03,43.867294,5.0,1.0,0.0
A07FA51,44.135468,5.0,1.0,0.0
A07X,49.45641,3.0,0.6,7.0
A07XA,49.494946,4.0,0.8,6.0
A07XA01,48.75581,5.0,1.0,0.0
A07XA02,48.643803,5.0,1.0,0.0
A07XA03,49.357533,5.0,1.0,0.0
A07XA04,48.806973,5.0,1.0,0.0
A07XA06,48.89015,5.0,1.0,0.0
A07XA51,48.456978,5.0,1.0,0.0
A08,34.370094,2.0,0.4,21.0
A08A,34.31026,3.0,0.6,20.0
A08AA,34.683693,4.0,0.8,15.0
A08AA01,34.41522,5.0,1.0,0.0
A08AA02,34.435116,5.0,1.0,0.0
A08AA03,34.24872,5.0,1.0,0.0
A08AA04,33.939144,5.0,1.0,0.0
A08AA05,34.52425,5.0,1.0,0.0
A08AA06,34.610943,5.0,1.0,0.0
A08AA07,33.65199,5.0,1.0,0.0
A08AA08,34.507362,5.0,1.0,0.0
A08AA09,32.328644,5.0,1.0,0.0
A08AA10,32.69472,5.0,1.0,0.0
A08AA11,31.301605,5.0,1.0,0.0
A08AA12,33.688503,5.0,1.0,0.0
A08AA51,34.7561,5.0,1.0,0.0
A08AA56,34.476852,5.0,1.0,0.0
A08AA62,35.074287,5.0,1.0,0.0
A08AB,27.807623,4.0,0.8,1.0
A08AB01,27.66457,5.0,1.0,0.0
A08AX,29.046194,4.0,0.8,1.0
A08AX01,29.21328,5.0,1.0,0.0
A09,31.20733,2.0,0.4,14.0
A09A,31.171402,3.0,0.6,13.0
A09AA,31.208439,4.0,0.8,4.0
A09AA01,30.981432,5.0,1.0,0.0
A09AA02,30.928139,5.0,1.0,0.0
A09AA03,31.066723,5.0,1.0,0.0
A09AA04,31.309679,5.0,1.0,0.0
A09AB,31.436731,4.0,0.8,4.0
A09AB01,31.177624,5.0,1.0,0.0
A09AB02,31.084455,5.0,1.0,0.0
A09AB03,31.257727,5.0,1.0,0.0
A09AB04,31.50702,5.0,1.0,0.0
A09AC,27.489063,4.0,0.8,2.0
A09AC01,27.543278,5.0,1.0,0.0
A09AC02,27.650465,5.0,1.0,0.0
A10,34.890316,2.0,0.4,143.0
A10A,69.975494,3.0,0.6,35.0
A10AB,69.82901,4.0,0.8,7.0
A10AB01,70.597275,5.0,1.0,0.0
A10AB02,68.93527,5.0,1.0,0.0
A10AB03,66.94216,5.0,1.0,0.0
